Well,average_frequency_b.sgy,average_ksi.sgy,average_time.sgy,both_stau.sgy,both_stime.sgy,difr smax dev reflect.sgy,ksi_psi.sgy,KgAver300
TRAIN,-17.4425,4.08586,36.4857,0.664402,205.0,0.4985201,-0.413526,0.603255764508914
TRAIN,-2.98971,4.66684,34.9951,0.666084,157.0,0.47798494,-0.454751,0.603255764508914
TRAIN,-7.06575,5.50217,38.4728,0.669339,202.0,0.44253838,-0.31756,0.603255764508914
TRAIN,-43.9603,5.09827,46.0299,0.667823,176.0,0.49622378,-0.410678,0.603255764508914
TRAIN,-27.1369,6.09006,52.7947,0.665055,204.0,0.46820787,-0.404999,0.4864141414141414
TRAIN,1.36696,4.96286,52.2665,0.674393,196.0,0.45767877,-0.491863,0.4864141414141414
TRAIN,-0.641073,4.90485,48.1903,0.667967,198.0,0.46048847,-0.402225,0.4864141414141414
TRAIN,-22.3288,3.92074,30.24,0.671753,252.0,0.36571786,-0.174879,0.6056228956228956
TRAIN,-24.7334,4.09602,38.1442,0.661784,253.0,0.32971075,-0.319241,0.6056228956228956
TRAIN,7.32337,4.9983,36.3591,0.663679,252.0,0.35242942,-0.334943,0.6825
TRAIN,-31.2995,3.45677,33.5802,0.667144,253.0,0.3402936,-0.231031,0.6676984126984128
TRAIN,-16.7406,4.15155,36.0037,0.668368,254.0,0.37151775,-0.26933,0.6676984126984128
TRAIN,-20.0907,2.89963,34.6259,0.669697,252.0,0.3636062,-0.151141,0.6056228956228956
TRAIN,-19.1219,4.1444,36.1129,0.662515,254.0,0.32270497,-0.295941,0.6166218509654339
TRAIN,-32.6911,4.07123,38.6669,0.666844,254.0,0.33128414,-0.271255,0.6359899184149185
TRAIN,-17.7621,3.54239,35.9009,0.665583,253.0,0.32358128,-0.247368,0.6676984126984128
TRAIN,-18.6626,4.04066,42.1918,0.664345,256.0,0.33461225,-0.328934,0.6109067519490313
TRAIN,2.65687,3.01208,39.4305,0.664215,211.0,0.33004367,-0.311119,0.6105918867143415
TRAIN,-9.17609,4.00722,37.8682,0.669231,255.0,0.3308505,-0.259885,0.6104589189405366
TRAIN,-11.7643,3.70367,40.0955,0.663544,257.0,0.35042718,-0.322158,0.6153693008125454
TRAIN,-23.3565,3.37029,41.9055,0.666586,256.0,0.36278197,-0.257484,0.610393920866715
TRAIN,-18.0414,2.63168,36.1056,0.664043,256.0,0.35300305,-0.183104,0.6247480204753489
TRAIN,-33.7939,1.96598,37.4282,0.666158,256.0,0.31836468,-0.228032,0.63008613932684
TRAIN,-22.9113,1.89801,42.3731,0.66313,208.0,0.37438372,-0.302105,0.6260458839482613
TRAIN,-24.0867,2.44975,38.2235,0.66426,257.0,0.31668925,-0.203774,0.6178647580573731
TRAIN,-21.3346,2.00481,37.6217,0.667045,256.0,0.3659202,-0.141813,0.6200620344352931
TRAIN,-20.3028,3.55382,35.1754,0.665517,255.0,0.32727295,-0.231068,0.634053908816491
TRAIN,-4.01435,2.75952,36.793,0.673158,205.0,0.42927432,-0.141725,0.6301349787254519
